Ensembl	Gene	Description
ENSG00000164932	CTHRC1	"Collagen triple helix repeat containing 1"
ENSG00000168925	CTRB1	"Chymotrypsinogen B1"
ENSG00000168928	CTRB2	"Chymotrypsinogen B2"
ENSG00000162438	CTRC	"Chymotrypsin C"
ENSG00000141086	CTRL	"Chymotrypsin like"
ENSG00000164733	CTSB	"Cathepsin B"
ENSG00000117984	CTSD	"Cathepsin D"
ENSG00000172543	CTSW	"Cathepsin W"
ENSG00000112514	CUTA	"CutA divalent cation tolerance homolog"
ENSG00000006210	CX3CL1	"C-X3-C motif chemokine ligand 1"
ENSG00000163739	CXCL1	"C-X-C motif chemokine ligand 1"
ENSG00000169245	CXCL10	"C-X-C motif chemokine ligand 10"
ENSG00000169248	CXCL11	"C-X-C motif chemokine ligand 11"
ENSG00000107562	CXCL12	"C-X-C motif chemokine ligand 12"
ENSG00000156234	CXCL13	"C-X-C motif chemokine ligand 13"
ENSG00000145824	CXCL14	"C-X-C motif chemokine ligand 14"
ENSG00000161921	CXCL16	"C-X-C motif chemokine ligand 16"
ENSG00000189377	CXCL17	"C-X-C motif chemokine ligand 17"
ENSG00000081041	CXCL2	"C-X-C motif chemokine ligand 2"
ENSG00000163734	CXCL3	"C-X-C motif chemokine ligand 3"
ENSG00000163735	CXCL5	"C-X-C motif chemokine ligand 5"
ENSG00000124875	CXCL6	"C-X-C motif chemokine ligand 6"
ENSG00000169429	CXCL8	"C-X-C motif chemokine ligand 8"
ENSG00000138755	CXCL9	"C-X-C motif chemokine ligand 9"
ENSG00000147113	CXorf36	"Chromosome X open reading frame 36"
ENSG00000167740	CYB5D2	"Cytochrome b5 domain containing 2"
ENSG00000142871	CYR61	"Cysteine rich angiogenic inducer 61"
ENSG00000170891	CYTL1	"Cytokine like 1"
ENSG00000179284	DAND5	"DAN domain BMP antagonist family member 5"
ENSG00000161634	DCD	Dermcidin
ENSG00000011465	DCN	Decorin
ENSG00000164821	DEFA4	"Defensin alpha 4"
ENSG00000164816	DEFA5	"Defensin alpha 5"
ENSG00000164822	DEFA6	"Defensin alpha 6"
ENSG00000164825	DEFB1	"Defensin beta 1"
ENSG00000176797	DEFB103A	"Defensin beta 103A"
ENSG00000177243	DEFB103B	"Defensin beta 103B"
ENSG00000176782	DEFB104A	"Defensin beta 104A"
ENSG00000177023	DEFB104B	"Defensin beta 104B"
ENSG00000186562	DEFB105A	"Defensin beta 105A"
ENSG00000186599	DEFB105B	"Defensin beta 105B"
ENSG00000186579	DEFB106A	"Defensin beta 106A"
ENSG00000187082	DEFB106B	"Defensin beta 106B"
ENSG00000186572	DEFB107A	"Defensin beta 107A"
ENSG00000198129	DEFB107B	"Defensin beta 107B"
ENSG00000184276	DEFB108B	"Defensin beta 108B"
ENSG00000203970	DEFB110	"Defensin beta 110"
ENSG00000180872	DEFB112	"Defensin beta 112"
ENSG00000214642	DEFB113	"Defensin beta 113"
ENSG00000177684	DEFB114	"Defensin beta 114"
ENSG00000215547	DEFB115	"Defensin beta 115"
ENSG00000215545	DEFB116	"Defensin beta 116"
ENSG00000131068	DEFB118	"Defensin beta 118"
ENSG00000180483	DEFB119	"Defensin beta 119"
ENSG00000204548	DEFB121	"Defensin beta 121"
ENSG00000180424	DEFB123	"Defensin beta 123"
ENSG00000180383	DEFB124	"Defensin beta 124"
ENSG00000178591	DEFB125	"Defensin beta 125"
ENSG00000125788	DEFB126	"Defensin beta 126"
ENSG00000088782	DEFB127	"Defensin beta 127"
ENSG00000185982	DEFB128	"Defensin beta 128"
ENSG00000125903	DEFB129	"Defensin beta 129"
ENSG00000232948	DEFB130A	"Defensin beta 130A"
ENSG00000233050	DEFB130B	"Defensin beta 130B"
ENSG00000186146	DEFB131A	"Defensin beta 131A"
ENSG00000225805	DEFB131B	"Defensin beta 131B"
ENSG00000186458	DEFB132	"Defensin beta 132"
ENSG00000214643	DEFB133	"Defensin beta 133"
ENSG00000205882	DEFB134	"Defensin beta 134"
ENSG00000205883	DEFB135	"Defensin beta 135"
ENSG00000205884	DEFB136	"Defensin beta 136"
ENSG00000171711	DEFB4A	"Defensin beta 4A"
ENSG00000177257	DEFB4B	"Defensin beta 4B"
ENSG00000139549	DHH	"Desert hedgehog"
ENSG00000167536	DHRS13	"Dehydrogenase/reductase 13"
ENSG00000187630	DHRS4L2	"Dehydrogenase/reductase 4 like 2"
ENSG00000184544	DHRS7C	"Dehydrogenase/reductase 7C"
ENSG00000169084	DHRSX	"Dehydrogenase/reductase X-linked"
ENSG00000107984	DKK1	"Dickkopf WNT signaling pathway inhibitor 1"
ENSG00000155011	DKK2	"Dickkopf WNT signaling pathway inhibitor 2"
ENSG00000050165	DKK3	"Dickkopf WNT signaling pathway inhibitor 3"
ENSG00000104371	DKK4	"Dickkopf WNT signaling pathway inhibitor 4"
ENSG00000104901	DKKL1	"Dickkopf like acrosomal protein 1"
ENSG00000187908	DMBT1	"Deleted in malignant brain tumors 1"
ENSG00000161249	DMKN	Dermokine
ENSG00000152592	DMP1	"Dentin matrix acidic phosphoprotein 1"
ENSG00000213918	DNASE1	"Deoxyribonuclease 1"
ENSG00000167968	DNASE1L2	"Deoxyribonuclease 1 like 2"
ENSG00000163687	DNASE1L3	"Deoxyribonuclease 1 like 3"
ENSG00000197635	DPP4	"Dipeptidyl peptidase 4"
ENSG00000143196	DPT	Dermatopontin
ENSG00000162490	DRAXIN	"Dorsal inhibitory axon guidance protein"
ENSG00000152591	DSPP	"Dentin sialophosphoprotein"
ENSG00000105246	EBI3	"Epstein-Barr virus induced 3"
ENSG00000143369	ECM1	"Extracellular matrix protein 1"
ENSG00000106823	ECM2	"Extracellular matrix protein 2"
ENSG00000181562	EDDM3A	"Epididymal protein 3A"
ENSG00000181552	EDDM3B	"Epididymal protein 3B"
ENSG00000164176	EDIL3	"EGF like repeats and discoidin domains 3"
ENSG00000078401	EDN1	"Endothelin 1"
ENSG00000127129	EDN2	"Endothelin 2"
ENSG00000124205	EDN3	"Endothelin 3"
ENSG00000115380	EFEMP1	"EGF containing fibulin extracellular matrix protein 1"
ENSG00000172638	EFEMP2	"EGF containing fibulin extracellular matrix protein 2"
ENSG00000169242	EFNA1	"Ephrin A1"
ENSG00000243364	EFNA4	"Ephrin A4"
ENSG00000198759	EGFL6	"EGF like domain multiple 6"
ENSG00000172889	EGFL7	"EGF like domain multiple 7"
ENSG00000241404	EGFL8	"EGF like domain multiple 8"
ENSG00000164318	EGFLAM	"EGF like, fibronectin type III and laminin G domains"
ENSG00000146648	EGFR	"Epidermal growth factor receptor"
ENSG00000197561	ELANE	"Elastase, neutrophil expressed"
ENSG00000049540	ELN	Elastin
ENSG00000169393	ELSPBP1	"Epididymal sperm binding protein 1"
ENSG00000161671	EMC10	"ER membrane protein complex subunit 10"
ENSG00000186998	EMID1	"EMI domain containing 1"
ENSG00000138080	EMILIN1	"Elastin microfibril interfacer 1"
ENSG00000132205	EMILIN2	"Elastin microfibril interfacer 2"
ENSG00000183798	EMILIN3	"Elastin microfibril interfacer 3"
ENSG00000132464	ENAM	Enamelin
ENSG00000149218	ENDOD1	"Endonuclease domain containing 1"
ENSG00000111405	ENDOU	"Endonuclease, poly(U) specific"
ENSG00000168913	ENHO	"Energy homeostasis associated"
ENSG00000197594	ENPP1	"Ectonucleotide pyrophosphatase/phosphodiesterase 1"
ENSG00000154269	ENPP3	"Ectonucleotide pyrophosphatase/phosphodiesterase 3"
ENSG00000187097	ENTPD5	"Ectonucleoside triphosphate diphosphohydrolase 5"
ENSG00000197586	ENTPD6	"Ectonucleoside triphosphate diphosphohydrolase 6 (putative)"
ENSG00000182585	EPGN	"Epithelial mitogen"
ENSG00000130427	EPO	Erythropoietin
ENSG00000101448	EPPIN	"Epididymal peptidase inhibitor"
ENSG00000249139	EPPIN-WFDC6	"EPPIN-WFDC6 readthrough"
ENSG00000083782	EPYC	Epiphycan
ENSG00000164307	ERAP1	"Endoplasmic reticulum aminopeptidase 1"
ENSG00000164308	ERAP2	"Endoplasmic reticulum aminopeptidase 2"
ENSG00000065361	ERBB3	"Erb-b2 receptor tyrosine kinase 3"
ENSG00000124882	EREG	Epiregulin
ENSG00000178752	ERFE	Erythroferrone
ENSG00000226887	ERVMER34-1	"Endogenous retrovirus group MER34 member 1, envelope"
ENSG00000164283	ESM1	"Endothelial cell specific molecule 1"
ENSG00000188107	EYS	"Eyes shut homolog (Drosophila)"
ENSG00000126218	F10	"Coagulation factor X"
ENSG00000088926	F11	"Coagulation factor XI"
ENSG00000131187	F12	"Coagulation factor XII"
ENSG00000124491	F13A1	"Coagulation factor XIII A chain"
ENSG00000143278	F13B	"Coagulation factor XIII B chain"
ENSG00000180210	F2	"Coagulation factor II, thrombin"
ENSG00000117525	F3	"Coagulation factor III, tissue factor"
ENSG00000198734	F5	"Coagulation factor V"
ENSG00000057593	F7	"Coagulation factor VII"
ENSG00000185010	F8	"Coagulation factor VIII"
ENSG00000101981	F9	"Coagulation factor IX"
ENSG00000175182	FAM131A	"Family with sequence similarity 131 member A"
ENSG00000113391	FAM172A	"Family with sequence similarity 172 member A"
ENSG00000151327	FAM177A1	"Family with sequence similarity 177 member A1"
ENSG00000189320	FAM180A	"Family with sequence similarity 180 member A"
ENSG00000144649	FAM198A	"Family with sequence similarity 198 member A"
ENSG00000183662	FAM19A1	"Family with sequence similarity 19 member A1, C-C motif chemokine like"
ENSG00000184599	FAM19A3	"Family with sequence similarity 19 member A3, C-C motif chemokine like"
ENSG00000163377	FAM19A4	"Family with sequence similarity 19 member A4, C-C motif chemokine like"
ENSG00000219438	FAM19A5	"Family with sequence similarity 19 member A5, C-C motif chemokine like"
ENSG00000108950	FAM20A	"FAM20A, golgi associated secretory pathway pseudokinase"
ENSG00000177706	FAM20C	"FAM20C, golgi associated secretory pathway kinase"
ENSG00000203795	FAM24A	"Family with sequence similarity 24 member A"
ENSG00000071889	FAM3A	"Family with sequence similarity 3 member A"
ENSG00000183844	FAM3B	"Family with sequence similarity 3 member B"
ENSG00000196937	FAM3C	"Family with sequence similarity 3 member C"
ENSG00000198643	FAM3D	"Family with sequence similarity 3 member D"
ENSG00000158246	FAM46B	"Family with sequence similarity 46 member B"
ENSG00000078098	FAP	"Fibroblast activation protein alpha"
ENSG00000026103	FAS	"Fas cell surface death receptor"
ENSG00000117560	FASLG	"Fas ligand"
ENSG00000077942	FBLN1	"Fibulin 1"
ENSG00000163520	FBLN2	"Fibulin 2"
ENSG00000140092	FBLN5	"Fibulin 5"
ENSG00000144152	FBLN7	"Fibulin 7"
ENSG00000166147	FBN1	"Fibrillin 1"
ENSG00000138829	FBN2	"Fibrillin 2"
ENSG00000142449	FBN3	"Fibrillin 3"
ENSG00000104921	FCER2	"Fc fragment of IgE receptor II"
ENSG00000203747	FCGR3A	"Fc fragment of IgG receptor IIIa"
ENSG00000162747	FCGR3B	"Fc fragment of IgG receptor IIIb"
ENSG00000162894	FCMR	"Fc fragment of IgM receptor"
ENSG00000085265	FCN1	"Ficolin 1"
ENSG00000160339	FCN2	"Ficolin 2"
ENSG00000142748	FCN3	"Ficolin 3"
ENSG00000143297	FCRL5	"Fc receptor like 5"
ENSG00000181617	FDCSP	"Follicular dendritic cell secreted protein"
ENSG00000090512	FETUB	"Fetuin B"
ENSG00000171560	FGA	"Fibrinogen alpha chain"
ENSG00000171564	FGB	"Fibrinogen beta chain"
ENSG00000113578	FGF1	"Fibroblast growth factor 1"
ENSG00000070193	FGF10	"Fibroblast growth factor 10"
ENSG00000196468	FGF16	"Fibroblast growth factor 16"
ENSG00000158815	FGF17	"Fibroblast growth factor 17"
ENSG00000156427	FGF18	"Fibroblast growth factor 18"
ENSG00000162344	FGF19	"Fibroblast growth factor 19"
ENSG00000138685	FGF2	"Fibroblast growth factor 2"
ENSG00000078579	FGF20	"Fibroblast growth factor 20"
ENSG00000105550	FGF21	"Fibroblast growth factor 21"
ENSG00000070388	FGF22	"Fibroblast growth factor 22"
ENSG00000118972	FGF23	"Fibroblast growth factor 23"
ENSG00000186895	FGF3	"Fibroblast growth factor 3"
ENSG00000075388	FGF4	"Fibroblast growth factor 4"
ENSG00000138675	FGF5	"Fibroblast growth factor 5"
ENSG00000111241	FGF6	"Fibroblast growth factor 6"
ENSG00000140285	FGF7	"Fibroblast growth factor 7"
ENSG00000107831	FGF8	"Fibroblast growth factor 8"
ENSG00000102678	FGF9	"Fibroblast growth factor 9"
ENSG00000137440	FGFBP1	"Fibroblast growth factor binding protein 1"
ENSG00000137441	FGFBP2	"Fibroblast growth factor binding protein 2"
ENSG00000174721	FGFBP3	"Fibroblast growth factor binding protein 3"
ENSG00000066468	FGFR2	"Fibroblast growth factor receptor 2"
ENSG00000171557	FGG	"Fibrinogen gamma chain"
ENSG00000104760	FGL1	"Fibrinogen like 1"
ENSG00000127951	FGL2	"Fibrinogen like 2"
ENSG00000102755	FLT1	"Fms related tyrosine kinase 1"
ENSG00000037280	FLT4	"Fms related tyrosine kinase 4"
ENSG00000122176	FMOD	Fibromodulin
ENSG00000115414	FN1	"Fibronectin 1"
ENSG00000164694	FNDC1	"Fibronectin type III domain containing 1"
ENSG00000143107	FNDC7	"Fibronectin type III domain containing 7"
ENSG00000110195	FOLR1	"Folate receptor 1"
ENSG00000165457	FOLR2	"Folate receptor beta"
ENSG00000110203	FOLR3	"Folate receptor 3"
ENSG00000164946	FREM1	"FRAS1 related extracellular matrix 1"
ENSG00000183090	FREM3	"FRAS1 related extracellular matrix 3"
ENSG00000162998	FRZB	"Frizzled related protein"
ENSG00000131808	FSHB	"Follicle stimulating hormone beta subunit"
ENSG00000134363	FST	Follistatin
ENSG00000163430	FSTL1	"Follistatin like 1"
ENSG00000070404	FSTL3	"Follistatin like 3"
ENSG00000053108	FSTL4	"Follistatin like 4"
ENSG00000168843	FSTL5	"Follistatin like 5"
ENSG00000226124	FTCDNL1	"Formiminotransferase cyclodeaminase N-terminal like"
ENSG00000001036	FUCA2	"Alpha-L-fucosidase 2"
ENSG00000069482	GAL	"Galanin and GMAP prepropeptide"
ENSG00000197487	GALP	"Galanin like peptide"
ENSG00000183087	GAS6	"Growth arrest specific 6"
ENSG00000184502	GAST	Gastrin
ENSG00000177225	GATD1	"Glutamine amidotransferase like class 1 domain containing 1"
ENSG00000145321	GC	"GC, vitamin D binding protein"
ENSG00000115263	GCG	Glucagon
ENSG00000130283	GDF1	"Growth differentiation factor 1"
ENSG00000266524	GDF10	"Growth differentiation factor 10"
ENSG00000135414	GDF11	"Growth differentiation factor 11"
ENSG00000130513	GDF15	"Growth differentiation factor 15"
ENSG00000263761	GDF2	"Growth differentiation factor 2"
ENSG00000184344	GDF3	"Growth differentiation factor 3"
ENSG00000125965	GDF5	"Growth differentiation factor 5"
ENSG00000156466	GDF6	"Growth differentiation factor 6"
ENSG00000143869	GDF7	"Growth differentiation factor 7"
ENSG00000164404	GDF9	"Growth differentiation factor 9"
ENSG00000168621	GDNF	"Glial cell derived neurotrophic factor"
ENSG00000145990	GFOD1	"Glucose-fructose oxidoreductase domain containing 1"
ENSG00000141098	GFOD2	"Glucose-fructose oxidoreductase domain containing 2"
ENSG00000259384	GH1	"Growth hormone 1"
ENSG00000136487	GH2	"Growth hormone 2"
ENSG00000112964	GHR	"Growth hormone receptor"
ENSG00000118702	GHRH	"Growth hormone releasing hormone"
ENSG00000157017	GHRL	"Ghrelin and obestatin prepropeptide"
ENSG00000134812	GIF	"Gastric intrinsic factor"
ENSG00000159224	GIP	"Gastric inhibitory polypeptide"
ENSG00000169605	GKN1	"Gastrokine 1"
ENSG00000183607	GKN2	"Gastrokine 2"
ENSG00000163521	GLB1L	"Galactosidase beta 1 like"
ENSG00000149328	GLB1L2	"Galactosidase beta 1 like 2"
ENSG00000186417	GLDN	Gliomedin
ENSG00000173401	GLIPR1L1	"GLIPR1 like 1"
ENSG00000151948	GLT1D1	"Glycosyltransferase 1 domain containing 1"
ENSG00000182327	GLTPD2	"Glycolipid transfer protein domain containing 2"
ENSG00000115523	GNLY	Granulysin
ENSG00000147437	GNRH1	"Gonadotropin releasing hormone 1"
ENSG00000125787	GNRH2	"Gonadotropin releasing hormone 2"
ENSG00000149735	GPHA2	"Glycoprotein hormone alpha 2"
ENSG00000179600	GPHB5	"Glycoprotein hormone beta 5"
ENSG00000105220	GPI	"Glucose-6-phosphate isomerase"
ENSG00000112293	GPLD1	"Glycosylphosphatidylinositol specific phospholipase D1"
ENSG00000211445	GPX3	"Glutathione peroxidase 3"
ENSG00000224586	GPX5	"Glutathione peroxidase 5"
ENSG00000198704	GPX6	"Glutathione peroxidase 6"
ENSG00000116157	GPX7	"Glutathione peroxidase 7"
ENSG00000166923	GREM1	"Gremlin 1, DAN family BMP antagonist"
ENSG00000180875	GREM2	"Gremlin 2, DAN family BMP antagonist"
ENSG00000030582	GRN	"Granulin precursor"
ENSG00000134443	GRP	"Gastrin releasing peptide"
ENSG00000148180	GSN	Gelsolin
ENSG00000197273	GUCA2A	"Guanylate cyclase activator 2A"
ENSG00000044012	GUCA2B	"Guanylate cyclase activator 2B"
ENSG00000145649	GZMA	"Granzyme A"
ENSG00000100453	GZMB	"Granzyme B"
ENSG00000100450	GZMH	"Granzyme H"
ENSG00000113088	GZMK	"Granzyme K"
ENSG00000197540	GZMM	"Granzyme M"
ENSG00000148702	HABP2	"Hyaluronan binding protein 2"
ENSG00000105697	HAMP	"Hepcidin antimicrobial peptide"
ENSG00000145681	HAPLN1	"Hyaluronan and proteoglycan link protein 1"
ENSG00000132702	HAPLN2	"Hyaluronan and proteoglycan link protein 2"
ENSG00000140511	HAPLN3	"Hyaluronan and proteoglycan link protein 3"
ENSG00000187664	HAPLN4	"Hyaluronan and proteoglycan link protein 4"
ENSG00000113070	HBEGF	"Heparin binding EGF like growth factor"
ENSG00000161610	HCRT	"Hypocretin neuropeptide precursor"
ENSG00000019991	HGF	"Hepatocyte growth factor"
ENSG00000109758	HGFAC	"HGF activator"
ENSG00000164161	HHIP	"Hedgehog interacting protein"
ENSG00000182218	HHIPL1	"HHIP like 1"
ENSG00000143512	HHIPL2	"HHIP like 2"
ENSG00000132297	HHLA1	"HERV-H LTR-associating 1"
ENSG00000204632	HLA-G	"Major histocompatibility complex, class I, G"
ENSG00000143341	HMCN1	"Hemicentin 1"
ENSG00000148357	HMCN2	"Hemicentin 2"
ENSG00000221887	HMSD	"Histocompatibility minor serpin domain containing"
ENSG00000257017	HP	Haptoglobin
ENSG00000261701	HPR	"Haptoglobin-related protein"
ENSG00000173083	HPSE	Heparanase
ENSG00000172987	HPSE2	"Heparanase 2 (inactive)"
ENSG00000110169	HPX	Hemopexin
ENSG00000113905	HRG	"Histidine rich glycoprotein"
ENSG00000167733	HSD11B1L	"Hydroxysteroid 11-beta dehydrogenase 1 like"
ENSG00000142798	HSPG2	"Heparan sulfate proteoglycan 2"
ENSG00000126550	HTN1	"Histatin 1"
ENSG00000205649	HTN3	"Histatin 3"
ENSG00000166033	HTRA1	"HtrA serine peptidase 1"
ENSG00000170801	HTRA3	"HtrA serine peptidase 3"
ENSG00000169495	HTRA4	"HtrA serine peptidase 4"
ENSG00000114378	HYAL1	"Hyaluronoglucosaminidase 1"
ENSG00000186792	HYAL3	"Hyaluronoglucosaminidase 3"
ENSG00000121351	IAPP	"Islet amyloid polypeptide"
ENSG00000029559	IBSP	"Integrin binding sialoprotein"
ENSG00000197919	IFNA1	"Interferon alpha 1"
ENSG00000186803	IFNA10	"Interferon alpha 10"
ENSG00000233816	IFNA13	"Interferon alpha 13"
ENSG00000228083	IFNA14	"Interferon alpha 14"
ENSG00000147885	IFNA16	"Interferon alpha 16"
ENSG00000234829	IFNA17	"Interferon alpha 17"
ENSG00000188379	IFNA2	"Interferon alpha 2"
ENSG00000137080	IFNA21	"Interferon alpha 21"
ENSG00000236637	IFNA4	"Interferon alpha 4"
ENSG00000147873	IFNA5	"Interferon alpha 5"
ENSG00000120235	IFNA6	"Interferon alpha 6"
ENSG00000214042	IFNA7	"Interferon alpha 7"
ENSG00000120242	IFNA8	"Interferon alpha 8"
ENSG00000159110	IFNAR2	"Interferon alpha and beta receptor subunit 2"
ENSG00000171855	IFNB1	"Interferon beta 1"
ENSG00000184995	IFNE	"Interferon epsilon"
ENSG00000111537	IFNG	"Interferon gamma"
ENSG00000147896	IFNK	"Interferon kappa"
ENSG00000182393	IFNL1	"Interferon lambda 1"
ENSG00000183709	IFNL2	"Interferon lambda 2"
ENSG00000197110	IFNL3	"Interferon lambda 3"
ENSG00000177047	IFNW1	"Interferon omega 1"
ENSG00000017427	IGF1	"Insulin like growth factor 1"
ENSG00000167244	IGF2	"Insulin like growth factor 2"
ENSG00000099769	IGFALS	"Insulin like growth factor binding protein acid labile subunit"
ENSG00000146678	IGFBP1	"Insulin like growth factor binding protein 1"
ENSG00000115457	IGFBP2	"Insulin like growth factor binding protein 2"
ENSG00000146674	IGFBP3	"Insulin like growth factor binding protein 3"
ENSG00000141753	IGFBP4	"Insulin like growth factor binding protein 4"
ENSG00000115461	IGFBP5	"Insulin like growth factor binding protein 5"
ENSG00000167779	IGFBP6	"Insulin like growth factor binding protein 6"
ENSG00000163453	IGFBP7	"Insulin like growth factor binding protein 7"
ENSG00000137142	IGFBPL1	"Insulin like growth factor binding protein like 1"
ENSG00000188293	IGFL1	"IGF like family member 1"
ENSG00000204866	IGFL2	"IGF like family member 2"
ENSG00000188624	IGFL3	"IGF like family member 3"
ENSG00000204869	IGFL4	"IGF like family member 4"
ENSG00000182700	IGIP	"IgA inducing protein"
ENSG00000128322	IGLL1	"Immunoglobulin lambda like polypeptide 1"
ENSG00000254709	IGLL5	"Immunoglobulin lambda like polypeptide 5"
ENSG00000142549	IGLON5	"IgLON family member 5"
ENSG00000152580	IGSF10	"Immunoglobulin superfamily member 10"
ENSG00000163501	IHH	"Indian hedgehog"
ENSG00000136634	IL10	"Interleukin 10"
ENSG00000095752	IL11	"Interleukin 11"
ENSG00000168811	IL12A	"Interleukin 12A"
ENSG00000113302	IL12B	"Interleukin 12B"
ENSG00000169194	IL13	"Interleukin 13"
ENSG00000164136	IL15	"Interleukin 15"
ENSG00000134470	IL15RA	"Interleukin 15 receptor subunit alpha"
ENSG00000172349	IL16	"Interleukin 16"
ENSG00000112115	IL17A	"Interleukin 17A"
ENSG00000127743	IL17B	"Interleukin 17B"
ENSG00000124391	IL17C	"Interleukin 17C"
ENSG00000172458	IL17D	"Interleukin 17D"
ENSG00000112116	IL17F	"Interleukin 17F"
ENSG00000177663	IL17RA	"Interleukin 17 receptor A"
ENSG00000150782	IL18	"Interleukin 18"
ENSG00000137496	IL18BP	"Interleukin 18 binding protein"
ENSG00000142224	IL19	"Interleukin 19"
ENSG00000115008	IL1A	"Interleukin 1 alpha"
ENSG00000125538	IL1B	"Interleukin 1 beta"
ENSG00000136697	IL1F10	"Interleukin 1 family member 10"
ENSG00000115594	IL1R1	"Interleukin 1 receptor type 1"
ENSG00000115590	IL1R2	"Interleukin 1 receptor type 2"
ENSG00000196083	IL1RAP	"Interleukin 1 receptor accessory protein"
ENSG00000115602	IL1RL1	"Interleukin 1 receptor like 1"
ENSG00000136689	IL1RN	"Interleukin 1 receptor antagonist"
ENSG00000109471	IL2	"Interleukin 2"
ENSG00000162891	IL20	"Interleukin 20"
ENSG00000138684	IL21	"Interleukin 21"
ENSG00000127318	IL22	"Interleukin 22"
ENSG00000164485	IL22RA2	"Interleukin 22 receptor subunit alpha 2"
ENSG00000110944	IL23A	"Interleukin 23 subunit alpha"
ENSG00000162892	IL24	"Interleukin 24"
ENSG00000166090	IL25	"Interleukin 25"
ENSG00000111536	IL26	"Interleukin 26"
ENSG00000197272	IL27	"Interleukin 27"
ENSG00000164399	IL3	"Interleukin 3"
ENSG00000204671	IL31	"Interleukin 31"
ENSG00000008517	IL32	"Interleukin 32"
ENSG00000137033	IL33	"Interleukin 33"
ENSG00000157368	IL34	"Interleukin 34"
ENSG00000136694	IL36A	"Interleukin 36 alpha"
ENSG00000136696	IL36B	"Interleukin 36 beta"
ENSG00000136688	IL36G	"Interleukin 36 gamma"
ENSG00000136695	IL36RN	"Interleukin 36 receptor antagonist"
ENSG00000125571	IL37	"Interleukin 37"
ENSG00000113520	IL4	"Interleukin 4"
ENSG00000104951	IL4I1	"Interleukin 4 induced 1"
ENSG00000077238	IL4R	"Interleukin 4 receptor"
ENSG00000113525	IL5	"Interleukin 5"
ENSG00000136244	IL6	"Interleukin 6"
ENSG00000134352	IL6ST	"Interleukin 6 signal transducer"
ENSG00000104432	IL7	"Interleukin 7"
ENSG00000145839	IL9	"Interleukin 9"
ENSG00000112706	IMPG1	"Interphotoreceptor matrix proteoglycan 1"
ENSG00000123999	INHA	"Inhibin alpha subunit"
ENSG00000122641	INHBA	"Inhibin beta A subunit"
ENSG00000163083	INHBB	"Inhibin beta B subunit"
ENSG00000175189	INHBC	"Inhibin beta C subunit"
ENSG00000139269	INHBE	"Inhibin beta E subunit"
ENSG00000254647	INS	Insulin
ENSG00000129965	INS-IGF2	"INS-IGF2 readthrough"
ENSG00000248099	INSL3	"Insulin like 3"
ENSG00000120211	INSL4	"Insulin like 4"
ENSG00000172410	INSL5	"Insulin like 5"
ENSG00000120210	INSL6	"Insulin like 6"
ENSG00000187608	ISG15	"ISG15 ubiquitin-like modifier"
ENSG00000129009	ISLR	"Immunoglobulin superfamily containing leucine rich repeat"
ENSG00000101230	ISM1	"Isthmin 1"
ENSG00000100593	ISM2	"Isthmin 2"
ENSG00000198542	ITGBL1	"Integrin subunit beta like 1"
ENSG00000055957	ITIH1	"Inter-alpha-trypsin inhibitor heavy chain 1"
ENSG00000151655	ITIH2	"Inter-alpha-trypsin inhibitor heavy chain 2"
ENSG00000162267	ITIH3	"Inter-alpha-trypsin inhibitor heavy chain 3"
ENSG00000055955	ITIH4	"Inter-alpha-trypsin inhibitor heavy chain family member 4"
ENSG00000123243	ITIH5	"Inter-alpha-trypsin inhibitor heavy chain family member 5"
ENSG00000102313	ITIH6	"Inter-alpha-trypsin inhibitor heavy chain family member 6"
ENSG00000179914	ITLN1	"Intelectin 1"
ENSG00000158764	ITLN2	"Intelectin 2"
ENSG00000099840	IZUMO4	"IZUMO family member 4"
ENSG00000166086	JAM3	"Junctional adhesion molecule 3"
ENSG00000132465	JCHAIN	"Joining chain of multimeric IgA and IgM"
ENSG00000107821	KAZALD1	"Kazal type serine peptidase inhibitor domain 1"
ENSG00000135253	KCP	"Kielin/chordin-like protein"
ENSG00000139330	KERA	Keratocan
ENSG00000007202	KIAA0100	KIAA0100
ENSG00000137261	KIAA0319	KIAA0319
ENSG00000104970	KIR3DX1	"Killer cell immunoglobulin like receptor, three Ig domains X1"
ENSG00000170498	KISS1	"KiSS-1 metastasis suppressor"
ENSG00000133116	KL	Klotho
ENSG00000167748	KLK1	"Kallikrein 1"
ENSG00000129451	KLK10	"Kallikrein related peptidase 10"
ENSG00000167757	KLK11	"Kallikrein related peptidase 11"
ENSG00000186474	KLK12	"Kallikrein related peptidase 12"
ENSG00000167759	KLK13	"Kallikrein related peptidase 13"
ENSG00000129437	KLK14	"Kallikrein related peptidase 14"
ENSG00000174562	KLK15	"Kallikrein related peptidase 15"
ENSG00000167751	KLK2	"Kallikrein related peptidase 2"
ENSG00000142515	KLK3	"Kallikrein related peptidase 3"
ENSG00000167749	KLK4	"Kallikrein related peptidase 4"
ENSG00000167754	KLK5	"Kallikrein related peptidase 5"
ENSG00000167755	KLK6	"Kallikrein related peptidase 6"
ENSG00000169035	KLK7	"Kallikrein related peptidase 7"
ENSG00000129455	KLK8	"Kallikrein related peptidase 8"
ENSG00000213022	KLK9	"Kallikrein related peptidase 9"
ENSG00000164344	KLKB1	"Kallikrein B1"
ENSG00000113889	KNG1	"Kininogen 1"
